rowid,object,attribute,value,attributetype
1,11c18c88-885c-454c-8e73-6c698144da41,type,cafe,type
2,11c18c88-885c-454c-8e73-6c698144da41,website,https://noecafe.com,url
3,11c18c88-885c-454c-8e73-6c698144da41,lattitude,37.7484974,float
4,11c18c88-885c-454c-8e73-6c698144da41,longitude,-122.429217,float
5,11c18c88-885c-454c-8e73-6c698144da41,name,Noe Cafe,string
6,11c18c88-885c-454c-8e73-6c698144da41,address,"1299 Sanchez Street, San Francisco, CA 94114",address
7,11c18c88-885c-454c-8e73-6c698144da41,hours,{},undefined
8,11c18c88-885c-454c-8e73-6c698144da41,price,0,int
9,11c18c88-885c-454c-8e73-6c698144da41,reviewsWebsite,https://www.tripadvisor.com/Restaurant_Review-g60713-d25491954-Reviews-Noe_Valley_Cafe_LLC-San_Francisco_California.html?m=63959,url
10,11c18c88-885c-454c-8e73-6c698144da41,amenities,"Offers Takeout,Accepts Credit Cards,Outdoor Seating,Moderate Noise,Good for Working,Street Parking,Free Wi-Fi,Dogs Allowed,Wheelchair Accessible,Gender-neutral restrooms,Heated Outdoor Seating,Covered Outdoor Seating,Offers Catering,Bike Parking",string
11,340a77de-6076-407c-a900-93f30d700358,type,cafe,type
12,340a77de-6076-407c-a900-93f30d700358,website,https://www.anothercafesf.com,url
13,340a77de-6076-407c-a900-93f30d700358,lattitude,37.7901681,float
14,340a77de-6076-407c-a900-93f30d700358,longitude,-122.4154112,float
15,340a77de-6076-407c-a900-93f30d700358,name,Another Cafe,string
16,340a77de-6076-407c-a900-93f30d700358,address,"1191 Pine St, Nob Hill, San Francisco, CA 94109-5104",address
17,340a77de-6076-407c-a900-93f30d700358,hours,"{""Fri"":""06:00:00–22:00:00"",""Mon"":""06:00:00–22:00:00"",""Sat"":""07:00:00–21:00:00"",""Sun"":""07:00:00–21:00:00"",""Thu"":""06:00:00–22:00:00"",""Tue"":""06:00:00–22:00:00"",""Wed"":""06:00:00–22:00:00""}",undefined
18,340a77de-6076-407c-a900-93f30d700358,price,1,int
19,340a77de-6076-407c-a900-93f30d700358,reviewsWebsite,https://www.tripadvisor.com/Restaurant_Review-g60713-d3235731-Reviews-Another_Cafe-San_Francisco_California.html?m=63959,url
20,340a77de-6076-407c-a900-93f30d700358,amenities,"Offers Delivery,Offers Takeout,No Reservations,Vegan Options,Accepts Credit Cards,Accepts Android Pay,Accepts Apple Pay,Outdoor Seating,Casual,Moderate Noise,Good for Groups,Good For Kids,Good for Breakfast, Lunch,Good for Working,Street Parking,Free Wi-Fi,Beer &amp; Wine Only,Dogs Allowed,Gender-neutral restrooms,Offers Catering,No TV,No Private Dining,Bike Parking,Compostable containers available",string
21,4e95b0fc-1360-4925-be63-09d717a33009,type,cafe,type
22,4e95b0fc-1360-4925-be63-09d717a33009,website,https://ritualroasters.com,url
23,4e95b0fc-1360-4925-be63-09d717a33009,lattitude,37.7564167,float
24,4e95b0fc-1360-4925-be63-09d717a33009,longitude,-122.4212286,float
25,4e95b0fc-1360-4925-be63-09d717a33009,name,Ritual Coffee Roasters,string
26,4e95b0fc-1360-4925-be63-09d717a33009,address,"1026 Valencia St, San Francisco, CA 94110-2406",address
27,4e95b0fc-1360-4925-be63-09d717a33009,hours,"{""Fri"":""06:00:00–22:00:00"",""Mon"":""06:00:00–22:00:00"",""Sat"":""11:00:00–23:00:00"",""Sun"":""07:00:00–21:00:00"",""Thu"":""06:00:00–22:00:00"",""Tue"":""06:00:00–22:00:00"",""Wed"":""06:00:00–22:00:00""}",undefined
28,4e95b0fc-1360-4925-be63-09d717a33009,price,2.5,int
29,4e95b0fc-1360-4925-be63-09d717a33009,reviewsWebsite,https://www.tripadvisor.com/Restaurant_Review-g60713-d853358-Reviews-Ritual_Coffee_Roasters-San_Francisco_California.html?m=63959,url
30,4e95b0fc-1360-4925-be63-09d717a33009,amenities,"Offers Takeout,No Delivery,Accepts Credit Cards,Accepts Android Pay,Accepts Apple Pay,Accepts Cryptocurrency,Moderate Noise,Good For Kids,Good for Working,Street Parking,Wheelchair Accessible,Gender-neutral restrooms,Offers Catering,No Drive-Thru,No Heated Outdoor Seating,No Covered Outdoor Seating,Bike Parking,Bring your own container allowed,Compostable containers available,Plastic-free packaging,Provides reusable tableware",string
31,4e95b0fc-1360-4925-be63-09d717a33009,phoneNumber,+14156411011,phoneNumber
32,be16e95c-1162-426b-bfe4-1d9a1d999ca9,type,cafe,type
33,be16e95c-1162-426b-bfe4-1d9a1d999ca9,website,https://www.cafereveille.com/lowerhaight,url
34,be16e95c-1162-426b-bfe4-1d9a1d999ca9,lattitude,37.7710569,float
35,be16e95c-1162-426b-bfe4-1d9a1d999ca9,longitude,-122.432071,float
36,be16e95c-1162-426b-bfe4-1d9a1d999ca9,name,Cafe Réveille,string
37,be16e95c-1162-426b-bfe4-1d9a1d999ca9,address,"1998 Polk St, San Francisco, CA  94109, United States",address
38,be16e95c-1162-426b-bfe4-1d9a1d999ca9,hours,"""""",undefined
39,be16e95c-1162-426b-bfe4-1d9a1d999ca9,price,0,int
40,be16e95c-1162-426b-bfe4-1d9a1d999ca9,reviewsWebsite,http://yelp.com/biz/gc-92vNLNa-Wyn-W3T5Lcg,url
41,be16e95c-1162-426b-bfe4-1d9a1d999ca9,amenities,"Offers Delivery,Offers Takeout,No Reservations,Vegan Options,Accepts Credit Cards,Accepts Apple Pay,Accepts Android Pay,Accepts Cryptocurrency,Outdoor Seating,Hipster, Trendy, Casual,Moderate Noise,Good for Breakfast, Brunch, Lunch, Dessert,Street Parking,Free Wi-Fi,Beer &amp; Wine Only,Wheelchair Accessible,Gender-neutral restrooms,Open to All,Offers Catering,Not Good For Groups,Not Good For Kids,No Waiter Service,Dogs Not Allowed,No TV,Bike Parking,Compostable containers available,Plastic-free packaging,Provides reusable tableware",string
42,be16e95c-1162-426b-bfe4-1d9a1d999ca9,phoneNumber,+14157896258,phoneNumber
43,6412938e-4ebd-42a4-b507-6432b858f2a1,type,cafe,type
44,6412938e-4ebd-42a4-b507-6432b858f2a1,website,https://www.philzcoffee.com,url
45,6412938e-4ebd-42a4-b507-6432b858f2a1,lattitude,37.7755634,float
46,6412938e-4ebd-42a4-b507-6432b858f2a1,longitude,-122.3933972,float
47,6412938e-4ebd-42a4-b507-6432b858f2a1,name,Philz Coffee,string
48,6412938e-4ebd-42a4-b507-6432b858f2a1,address,"201 Berry St, San Francisco, CA 94158-1629",address
49,6412938e-4ebd-42a4-b507-6432b858f2a1,hours,"{""Fri"":""06:00:00–17:00:00"",""Mon"":""06:00:00–17:00:00"",""Sat"":""06:30:00–18:00:00"",""Sun"":""06:30:00–17:30:00"",""Thu"":""06:00:00–17:00:00"",""Tue"":""06:00:00–17:00:00"",""Wed"":""06:00:00–17:00:00""}",undefined
50,6412938e-4ebd-42a4-b507-6432b858f2a1,price,1,int
51,6412938e-4ebd-42a4-b507-6432b858f2a1,reviewsWebsite,https://www.tripadvisor.com/Restaurant_Review-g60713-d1014920-Reviews-Philz_Coffee-San_Francisco_California.html?m=63959,url
103,f616f29e-9a40-4a49-b66d-c545614c0537,address,"3438 Mission St, San Francisco, CA 94110-5437",address
162,7f78f0ef-7b27-4c4d-82aa-4d055ceb1394,name,Talk Series: Event Streaming with Mantis & Scaling Computations with Ray,string
52,6412938e-4ebd-42a4-b507-6432b858f2a1,amenities,"Offers Delivery,Offers Takeout,No Reservations,Vegan Options,Accepts Credit Cards,Accepts Android Pay,Accepts Apple Pay,Accepts Cryptocurrency,Outdoor Seating,Classy,Moderate Noise,Good for Working,Street Parking,Free Wi-Fi,Dogs Allowed,Wheelchair Accessible,Gender-neutral restrooms,Open to All,Offers Catering,Not Good For Kids,No Waiter Service,No Happy Hour,No Alcohol,No Drive-Thru,No TV,No Heated Outdoor Seating,No Covered Outdoor Seating,No Private Dining,Bike Parking,Bring your own container allowed,Compostable containers available,EV charging station available",string
53,6412938e-4ebd-42a4-b507-6432b858f2a1,phoneNumber,+14158759943,phoneNumber
54,8f98c24a-5c4d-4ef7-be79-005879a6a459,type,cafe,type
55,8f98c24a-5c4d-4ef7-be79-005879a6a459,website,https://boudinbakery.com/location/union-square-macys-bakery-cafe,url
56,8f98c24a-5c4d-4ef7-be79-005879a6a459,lattitude,37.7866824,float
57,8f98c24a-5c4d-4ef7-be79-005879a6a459,longitude,-122.407058,float
58,8f98c24a-5c4d-4ef7-be79-005879a6a459,name,Boudin,string
59,8f98c24a-5c4d-4ef7-be79-005879a6a459,address,"160 Jefferson St, Fisherman's Wharf, San Francisco, CA 94133-1202",address
60,8f98c24a-5c4d-4ef7-be79-005879a6a459,hours,{},undefined
61,8f98c24a-5c4d-4ef7-be79-005879a6a459,price,0,int
62,8f98c24a-5c4d-4ef7-be79-005879a6a459,reviewsWebsite,https://www.tripadvisor.com/Attraction_Review-g60713-d156537-Reviews-Boudin_at_the_Wharf-San_Francisco_California.html?m=63959,url
63,8f98c24a-5c4d-4ef7-be79-005879a6a459,amenities,"Offers Delivery,Offers Takeout,No Reservations,Accepts Credit Cards,Accepts Android Pay,Accepts Apple Pay,Casual,Quiet,Offers Catering,Good For Kids,Good for Lunch,Street Parking,Not Good For Groups,No Wi-Fi,No Alcohol,Dogs Not Allowed,No TV,No Bike Parking",string
64,8f98c24a-5c4d-4ef7-be79-005879a6a459,phoneNumber,+14159281849,phoneNumber
65,83ce87ab-eedb-4898-91a6-f5748419862c,type,cafe,type
66,83ce87ab-eedb-4898-91a6-f5748419862c,website,https://www.crostiniandjava.com,url
67,83ce87ab-eedb-4898-91a6-f5748419862c,lattitude,37.7889803,float
68,83ce87ab-eedb-4898-91a6-f5748419862c,longitude,-122.4171394,float
69,83ce87ab-eedb-4898-91a6-f5748419862c,name,Crostini & Java,string
70,83ce87ab-eedb-4898-91a6-f5748419862c,address,"899 Hyde St, San Francisco, CA 94109-5927",address
71,83ce87ab-eedb-4898-91a6-f5748419862c,hours,"{""Fri"":""06:30:00–15:00:00"",""Mon"":""06:30:00–15:00:00"",""Sat"":""07:30:00–15:00:00"",""Sun"":""07:30:00–15:00:00"",""Thu"":""06:30:00–15:00:00"",""Tue"":""06:30:00–15:00:00"",""Wed"":""06:30:00–15:00:00""}",undefined
72,83ce87ab-eedb-4898-91a6-f5748419862c,price,1,int
73,83ce87ab-eedb-4898-91a6-f5748419862c,reviewsWebsite,https://www.tripadvisor.com/Restaurant_Review-g60713-d14080095-Reviews-Crostini_Java-San_Francisco_California.html?m=63959,url
74,83ce87ab-eedb-4898-91a6-f5748419862c,amenities,"Takes Reservations,Offers Delivery,Offers Takeout,Vegan Options,Accepts Credit Cards,Accepts Apple Pay,Outdoor Seating,Casual,Moderate Noise,Offers Catering,Good For Kids,Good for Lunch,Street Parking,Dogs Allowed,Wheelchair Accessible,Gender-neutral restrooms,Open to All,Covered Outdoor Seating,Not Good For Groups,Not Good For Working,No Waiter Service,No Wi-Fi,No Happy Hour,No Alcohol,No Drive-Thru,No TV,No Heated Outdoor Seating,No Private Dining,Bike Parking,Compostable containers available,Plastic-free packaging,Provides reusable tableware",string
75,83ce87ab-eedb-4898-91a6-f5748419862c,phoneNumber,+14158729226,phoneNumber
76,dd0f65e6-934f-48d5-b4b8-53803029234f,type,cafe,type
77,dd0f65e6-934f-48d5-b4b8-53803029234f,website,https://www.bobsdonutssf.com,url
78,dd0f65e6-934f-48d5-b4b8-53803029234f,lattitude,37.791885,float
79,dd0f65e6-934f-48d5-b4b8-53803029234f,longitude,-122.4211078,float
80,dd0f65e6-934f-48d5-b4b8-53803029234f,name,Bob's Donuts,string
81,dd0f65e6-934f-48d5-b4b8-53803029234f,address,"1621 Polk St, San Francisco, CA 94109-3614",address
