id,type,neighborhood,category,author,date,title,subtitle,content,url
67677363-e512-4377-91c2-1a9a09fe7f66,news,marina,NEWS BRIEFS,by Susan Dyer Reynolds,NOVEMBER 2023,Controversial harbor threatens Marina Green view,,"{""Acontentious meeting about the harbor brought out a bevy of boats but no board. District 2 Supervisor Catherine Stefani recused herself from representation because her husband owns a boat in the marina. The grassroots group “Keep The Waterfront Open” collected more than 2,500 signatures opposing plans that would remove boats located at Gashouse Cove — part of the Marina Small Craft Harbor since the 1960s — so that PG&E can “decontaminate the water.” Along with removal of the wooden slips and the only public fuel dock in town, the view of bobbing masts would be gone forever."",""Critics say the plan is really about the San Francisco Recreation and Park Department’s desire to accommodate much larger yachts, which would further restrict views from the Marina Green but would increase revenue flow to the agency, all while allowing PG&E to save millions by doing a less than adequate cleanup of its toxins under the water of the adjacent Gashouse Cove."",""With Stefani abstaining, the city charter says “the privilege of the floor shall not be granted, for any purpose, to persons other than officers of the City or their duly authorized representatives. This rule shall not be suspended except by unanimous consent of all Supervisors present,” which leaves residents without representation from their elected supervisor."",""At an Oct. 19 meeting, Rec and Park voted to move forward with an environmental impact review for the proposed plan, despite local opposition.""}",https://www.marinatimes.com/controversial-harbor-threatens-marina-green-view
bf2a138c-2db1-49e4-85b8-9f2f039c26b2,news,marina,NEWS BRIEFS,by Marina Times Staff,SEPTEMBER 2023,Jump starting businesses in our neighborhoods,,"{""It’s well-known that the city’s permitting process for small businesses is laborious. Add to that the challenge of high rents; hiring; crime; and the pandemic, which forced the closure of many businesses, owning or opening a small business in the city is challenging. According to the U.S. Bureau of Labor Statistics, 20 percent of new businesses fail, and some reports are that it is higher in San Francisco."",""There may be hope: Earlier this year, Mayor London Breed proposed legislation to improve the permitting process with more than 100 changes to the current Planning Code. Among the proposed changes are allowing more business uses on ground floors to help fill commercial vacancies; lifting restrictions on restaurants and bars in certain neighborhoods — including Union Street; easing the legalization process for existing outdoor patios; and enabling nighttime entertainment, bars, and restaurants to benefit from priority permit processing."",""The legislation is in part designed to provide small businesses the ability to adapt to a “flexible retail” model, which currently is allowed only in certain districts, and would accommodate changing circumstances, such as the pandemic and consumer behavior. That model would allow previously existing business to change to a different use without having to reapply to the city for new permits for each change."",""The Planning Commission will consider these changes in a public meeting on Sept 7.""}",https://www.marinatimes.com/jump-starting-businesses-in-our-neighborhoods
1d3130b8-1570-4999-bbc4-1be9c0aa5961,news,marina,NEWS,by Marina Times Staff,,APEC 2023 Conference Briefing on Burns Highlighted Challenges in Burn Injury,,"{""The Asia-Pacific Economic Cooperation, which hosted its 2023 Conference Briefing on Burns on Aug. 30, saw a distinguished lineup of speakers in the global burn treatment community addressing the pressing issue of burn injury and burn care in their countries throughout the Asia-Pacific. The conference briefing is one of many such briefings and satellite meetings happening in advance of the 2023 APEC Economic Leaders’ Meeting where global leaders and heads of state will descend in November on San Francisco, this year’s host city. "",""Kicking off the conference on burns, Kevin Xu, president of MEBO Group and co-chair of the APEC 2023 Host Committee, and an investor in Street Media, delivered the opening remarks. He called for a diverse range of voices to be heard at this year’s meeting, stressing the importance of contributions from sectors such as NGOs and medical associations."",""Then, Dr. Tina L. Palmieri, assistant chief of burns at Shriners Children’s Northern California; burn division chief at the University of California, Davis; past-president ABA, current ISBI treasurer, expressed her thanks for Kevin’s insightful remarks. She proceeded to highlight the substantial global impact of burns, particularly within APEC nations, and noted the alarming increase in incidents of fires worldwide."",""Dr. Robert Cartotto, president of the American Burn Association, shared a poignant story of his patient John, a burn survivor of a car accident, and he underscored the profound physical and psychological effects of burns for the patient. Dr. Cartotto then delved into the broader economic implications of burns in Canada, along with the nation’s approach to burn care. He revealed that around 25,000 Canadians sought emergency care for burn injuries, while 2,500 were hospitalized due to burns."",""Dr. Jeremy Rawlins, president of the Australia/New Zealand Burn Association recounted his personal experience of a minor burn that disrupted his work routine. He then discussed the escalating frequency of wildfires in Australia, resulting in substantial economic and human life losses for the nation. He specifically mentioned that barbecues were a prominent cause of burn injuries in Australia."",""Addressing the burn situation in India, Dr. Rajeev Ahuja, founding president of the Asia Pacific Burn Association, revealed that approximately five million Indians live with disabilities resulting from burn injuries. Moreover, half of India’s burn victims suffer from burns with more than 50 percent of total body surface area. He highlighted the correlation between burn injuries and poverty, and introduced the challenges India faced in burn management."",""Dr. Folke Sjoberg, president of the International Society for Burn Injuries provided an overview of the society, its evolution, and its diverse and multidisciplinary teams. He also highlighted the advancements in global burn care."",""Dr. Ariel Miranda, secretary of the ISBI and a plastic surgeon and chief of the pediatric burn unit in Guadalajara, Mexico discussed the organization’s objectives, including collaboration with NGOs and prioritized inclusion of low-income nations as members. He also elaborated on the benefits of joining ISBI and the society’s developmental strategies."",""As a corporate partner and organizing committee member of the APEC 2023 Conference, MEBO Group would launch peripheral activities centering around wound care and burn management during the event, bringing together international scholars and experts in the field to offer solutions and strategic insights to conference participants.""}",https://www.marinatimes.com/apec-2023-conference-briefing-on-burns-highlighted-challenges-in-burn-injury
bc82ae24-ffe0-4616-8d2a-4ae1a9e9c4f6,news,marina,NEWS BRIEFS,by Lynette Majer,AUGUST 2023,Ridwell fills the Recology gap,,"{""For years I have doggedly sorted my recycling with focused determination (with a world in such disarray, this is one thing I can control, right?) My scads of rubber bands, paper clips, and miscellaneous art items I periodically drive down to Scrap; bubble wrap and air pillows to Tony at the Postal Chase on Fillmore Street; plastic bags to Safeway — you get the idea. Although Recology has stepped up their game a bit, there are still some unrecyclable materials that unfortunately end up in the black bin."",""Enter Ridwell, a company with a half dozen locations across the country that has recently landed in the Bay Area. Ridwell picks up multilayer plastic (chip bags and the like); plastic films; clothes, shoes, and textiles; lightbulbs, and more every two weeks. They provide marked cloth bags/boxes and pick up directly from your front door and deliver to recyclers like Scrap that reuse the items or others that recycle the materials to produce new items, like ByFusion, which turns multilayer plastic into construction-grade building blocks. "",""What’s more, they are transparent about what goes where, which is listed on their website along with percentages of diverted materials and contamination, and they audit and track the items to ensure they reach their partner destinations. "",""For additional information and pricing, visit ridwell.com.""}",https://www.marinatimes.com/ridwell-fills-the-recology-gap
ffa297e9-0710-4845-a996-22fd2b9a1065,news,marina,NEWS BRIEFS,by John Zipperer,APRIL 2023,Mediterranean Restaurant Coming to Presidio,,"{""This summer, Building 101 on the Presidio’s Main Parade Lawn will boast a new restaurant featuring Mediterranean foods and culture “enveloped in American comfort and hospitality,” according to the Presidio Trust. Chefs Laura and Sayat Ozyilmaz are leasing space for an indoor and outdoor restaurant in the building formerly occupied by The Commissary."",""Laura, from Guerrero, Mexico, and Saya, from Istanbul, Turkey, will present menus for brunch, lunch, dinner, and cocktails drawing on eastern Mediterranean traditions while using California ingredients. The new restaurant “will balance innovation, culture, and nostalgia, and the Presidio offers the perfect relaxing setting to bring that concept to our guests,” said Sayat Ozyilmaz."",""Send feedback to letters@marinatimes.com. News tips? Email john@marinatimes.com""}",https://www.marinatimes.com/mediterranean-restaurant-coming-to-presidio
bf0e4482-0306-4992-bf26-7724672b85ea,news,marina,NEWS BRIEFS,by John Zipperer,APRIL 2023,Police Blotter,,"{""March 3, 4:06 p.m., Van Ness Avenue at Bay Street: Officers tracked a stolen vehicle and found it parked and occupied. The driver of the stolen vehicle attempted to flee, accelerating the vehicle toward the patrol vehicle and colliding with it. Suspects from the stolen car then fled on foot, but were detained and identified as juveniles; one suspect spit in an officer’s face. Arrests were made."",""March 17, 9:54 p.m., 1200 block of Gough Street: A security guard tasked with watching two parked CNN vehicles was pushed to the ground by a suspect who attempted to break the window of one of the CNN vehicles. The suspect was able to remove some property and flee the scene. The case is still under investigation."",""March 18, 10:35 p.m., Laguna Street and Geary Boulevard: Officers chased several subjects after responding to a call about a fight; they ultimately detained one subject who discarded a firearm in nearby bushes. The subject was arrested."",""Send feedback to letters@marinatimes.com. News tips? Email john@marinatimes.com""}",https://www.marinatimes.com/police-blotter
530fb824-bc5d-4428-af90-b073ad5d3ab9,news,marina,NEWS BRIEFS,by John Zipperer,APRIL 2023,Briefly Noted,,"{""Phil Ginsburg, general manager of the San Francisco Recreation and Park Department, was unanimously elected chairperson of the California State Park and Recreation Commission. The vote by his fellow commissioners caps his rise that began when he was deputy city attorney in San Francisco in 2000. He previously served as the commission’s vice president . . .  The recent collapse of Silicon Valley Bank and rescue by the government has shaken the markets. State Senator Scott Wiener notes that nearly 90 percent of the bank’s deposits were uninsured; the potential losses didn’t only affect Bay Area tech companies, but also “thousands of San Francisco’s small businesses, nonprofits and climate innovators, and nearly 500 units of affordable housing to be completed” . . . By a vote of 9–2, the Board of Supervisors approved Mayor London Breed’s plan to add $25 million in funding to cover police overtime and to lift a hiring freeze. The vote came three weeks after Chicago Mayor Lori Lightfoot lost her bid for reelection, primarily over concerns about crime and insufficient policing . . . Piers 30–32 could house new mixed-use projects under a bill introduced by Senator Wiener in mid-March. SB 273 would involve the rebuilding of the piers, removal of bay fill, and opening an adjacent project to hundreds of units of housing, including affordable units. "",""Send feedback to letters@marinatimes.com. News tips? Email john@marinatimes.com""}",https://www.marinatimes.com/briefly-noted-19
d936ca8c-aea8-47f3-9a64-2ea5bb45f1b7,news,marina,NEWS BRIEFS,by John Zipperer,APRIL 2023,Facts and Figures,,"{""100: number of legislative changes proposed by Mayor Breed in her latest attempt to ease permitting for small businesses and improve the business climate in the city . . . March 24: Date when a local resident swimming in Aquatic Park was bitten by a harbor seal . . . More than 700: number of trees in the city felled by a cycle of March storms . . . 35,000: number of customers who lost power during the peak of the storms . . . 1,200: number of tiny houses being deployed by the California National Guard for homeless people . . . 55: age of Wild 94.9 radio host Jeffrey Vandergrift, whose body was found at Pier 39 in late March . . . More than 55 feet: amount of snow that has fallen in some parts of the Sierra Nevada so far this winter . . . 20.2 percent: increase in productivity in the San Francisco-Oakland-Berkeley metropolitan area from 2019–21, according to the Brookings Institution . . . 35 feet: height of Jack Early Park (Grant Avenue at Pfeiffer Street), believed to be the smallest park in San Francisco. It is largely a staircase and a viewing platform."",""Send feedback to letters@marinatimes.com. News tips? Email john@marinatimes.com""}",https://www.marinatimes.com/facts-and-figures-48
071e96b2-03ad-452b-a1a9-a2cd221b9cf3,news,marina,NEWS BRIEFS,by John Zipperer,APRIL 2023,Luke’s In North Beach,,"{""Early last month, Luke’s Local opened its latest location. Located in North Beach at Green and Stockton streets, it is the company’s third in the city; it already has stores in Cole Valley and Cow Hollow."",""On March 10th, Luke’s Local Grocery at 580 Green Street threw open its doors and welcomed its local customers with raffles, samples, free coffee, and more. The company shared a short video on Instagram and declared “We just met but we already love you, North Beach!”"",""In honor of the opening, Luke’s partnered with Tony’s Pizza Napoletana to offer four pizzas by Tony’s owner-chef Tony Gemignani that customers can take home and bake: New Yorker Style, Classic Cheese, Pepperoni, and Veggie."",""Send feedback to letters@marinatimes.com. News tips? Email john@marinatimes.com""}",https://www.marinatimes.com/lukes-in-north-beach
2359bb8b-01a5-414e-8fb0-edb3d3448041,news,marina,"NEWS, UNCATEGORIZED",by Irvine Weekly,,Congresswoman Katie Porter to Run for Senate,,"{""Congresswoman Katie Porter (D-Irvine) announced her campaign for a seat in the U.S. Senate in a video message posted to YouTube on Tuesday, Jan. 10."",""Porter, who won the November midterm election against Orange County Republican Scott Baugh with a 51.72% to 48.28% vote count, stated that California needs a “warrior” in Washington and expressed her intent to challenge the status quo and hold powerful entities such as Wall Street, Big Oil and Big Pharma accountable. "",""Her announcement was made with the aim of taking the seat of Senator Dianne Feinstein, who hasn’t declared intentions to run again for 2024 and has been criticized for staying in office despite her advanced age. "",""In response, Baugh took to Twitter to announce he would be running for the 47th Congressional District Representative again in 2024.""}",https://www.marinatimes.com/congresswoman-katie-porter-to-run-for-senate
